rA/rC,Simple diff-X,Diff-Xmullican,delta-Hf,delta-Smix,(Delta),Possibility of formation
0.586207,0.408,-0.019347549,-22.88,13.381,0.107915038,0
0.459459459,0.5545,0.510395818,-0.81,13.075,0.068242721,1
0.607142857,0.324,0.331636439,-25.44,13.381,0.036949417,0
0.53125,0.55625,0.734498016,2.385,13.075,0.043400801,1
0.459459459,0.632,0.584988496,-24.48,13.381,0.18941919,0
0.607142857,0.324,0.444381202,-26.24,13.381,0.036949417,0
0.459459459,0.56825,0.543882508,2.115,13.075,0.087820589,1
0.548387097,0.302,0.555097317,-4.64,13.38,0.122524273,0
0.586207,0.404,0.250920538,-16.8,13.381,0.107915038,0
0.4722,0.815,1.005975,0,11.52,0.012284048,1
0.566666667,0.495,0.126628853,-16.25,11.52,0.130506916,0
0.62962963,0.33,0.382959504,-13.6,13.381,0.137669529,0
0.459459459,0.564,0.589078084,1.92,13.381,0.083852549,1
0.485714,0.8,1.08806,0,13.381,1.11022E-16,1
0.459459459,0.414,0.308217858,-28.64,13.381,0.196174483,0
0.548387097,0.5325,0.624083871,-5.5,11.52,0.084465164,0
0.459459459,0.578,0.598191631,1.28,13.381,0.081931093,1
0.459459459,0.488,0.589214152,-0.64,13.381,0.119256959,1
0.4722,0.8125,0.9966,0,11.52,0.012284048,1
0.459459459,0.33,0.283544737,-20.8,13.381,0.131909656,0
0.586207,0.338,0.196282301,-22.24,13.381,0.106323575,0
0.53125,0.52625,0.729387573,2.7225,13.075,0.050820792,1
0.4722,0.8175,1.0163,0,11.52,0.012284048,1
0.459459459,0.47,0.474722704,-0.96,13.381,0.108027561,1
0.548387097,0.5715,0.648586689,2.115,13.075,0.053662073,1
0.459459459,0.56525,0.559421212,2.295,13.075,0.086802434,1
0.485714,0.8,1.1279,0,11.52,0,1
0.4722,0.808,1.07522,0,13.381,0.011363636,1
0.607142857,0.258,0.04896251,-19.52,13.381,0.038628936,0
0.586207,0.342,-0.404084202,-20.64,13.381,0.103547023,0
0.459459459,0.572,0.574715219,-0.32,13.381,0.081931093,1
0.459459459,0.59,0.600288199,-17.6,13.381,0.189509067,0
0.586207,0.402,-0.11696953,-12.64,13.381,0.111691265,0
0.459459459,0.536,0.679429968,-0.32,13.381,0.118009608,1
0.459459459,0.398,0.114604164,-27.04,13.381,0.196174483,0
0.548387097,0.398,0.394878316,-19.52,13.381,0.061392943,0
0.459459459,0.516,0.701393829,0.32,13.381,0.118009608,1
0.4722,0.806,1.06696,0,13.381,0.011363636,1
0.586207,0.404,0.235472286,-12.64,13.381,0.107915038,0
0.53125,0.60375,0.792667455,3.06,13.075,0.049175656,1
0.607142857,0.3075,0.158488727,-9.5,11.52,0.107675112,0
0.566666667,0.475,0.179954235,-8,11.52,0.132075472,0
0.548387097,0.584,0.634859276,0.4275,13.075,0.053662073,1
0.459459459,0.4595,0.605527513,-0.2925,13.075,0.11931318,1
0.4722,0.8075,1.0912,0,11.52,0.012284048,1
